Category,Reviews,Installs,NUM_INSTALLED,NUM_CATEGORY,
ART_AND_DESIGN,176,"100,000",100000,1,
ART_AND_DESIGN,295221,"10,000,000",10000000,1,
ART_AND_DESIGN,2206,"100,000",100000,1,
ART_AND_DESIGN,26,"10,000",10000,1,
ART_AND_DESIGN,174531,"10,000,000",10000000,1,
ART_AND_DESIGN,1070,"100,000",100000,1,
ART_AND_DESIGN,85,"100,000",100000,1,
ART_AND_DESIGN,845,"100,000",100000,1,
ART_AND_DESIGN,253,"50,000",50000,1,
ART_AND_DESIGN,13,"1,000",1000,1,
ART_AND_DESIGN,295237,"10,000,000",10000000,1,
ART_AND_DESIGN,5754,"100,000",100000,1,
ART_AND_DESIGN,801,"5,000",5000,1,
ART_AND_DESIGN,1216,"10,000",10000,1,
ART_AND_DESIGN,149,"1,000",1000,1,
ART_AND_DESIGN,486,"100,000",100000,1,
ART_AND_DESIGN,48,"5,000",5000,1,
ART_AND_DESIGN,18,"1,000",1000,1,
ART_AND_DESIGN,41,"5,000",5000,1,
ART_AND_DESIGN,7,"5,000",5000,1,
ART_AND_DESIGN,175,"50,000",50000,1,
ART_AND_DESIGN,132,"10,000",10000,1,
ART_AND_DESIGN,0,0,0,1,
ART_AND_DESIGN,1,100,100,1,
AUTO_AND_VEHICLES,367,"100,000",100000,2,
AUTO_AND_VEHICLES,1598,"1,000,000",1000000,2,
AUTO_AND_VEHICLES,284,"100,000",100000,2,
AUTO_AND_VEHICLES,17057,"1,000,000",1000000,2,
AUTO_AND_VEHICLES,129,"100,000",100000,2,
AUTO_AND_VEHICLES,542,"100,000+",100000,2,
AUTO_AND_VEHICLES,10479,"100,000+",100000,2,
AUTO_AND_VEHICLES,805,"50,000+",50000,2,
AUTO_AND_VEHICLES,129,"100,000+",100000,2,
AUTO_AND_VEHICLES,1403,"100,000+",100000,2,
AUTO_AND_VEHICLES,3971,"100,000+",100000,2,
AUTO_AND_VEHICLES,534,"10,000+",10000,2,
AUTO_AND_VEHICLES,7774,"100,000+",100000,2,
AUTO_AND_VEHICLES,38846,"1,000,000+",1000000,2,
AUTO_AND_VEHICLES,2431,"100,000+",100000,2,
AUTO_AND_VEHICLES,6090,"100,000+",100000,2,
AUTO_AND_VEHICLES,295,"10,000+",10000,2,
AUTO_AND_VEHICLES,190,"50,000+",50000,2,
AUTO_AND_VEHICLES,40211,"5,000,000+",5000000,2,
AUTO_AND_VEHICLES,356,"100,000+",100000,2,
AUTO_AND_VEHICLES,52530,"5,000,000+",5000000,2,
AUTO_AND_VEHICLES,116986,"5,000,000+",5000000,2,
AUTO_AND_VEHICLES,1379,"500,000+",500000,2,
AUTO_AND_VEHICLES,271920,"10,000,000+",10000000,2,
AUTO_AND_VEHICLES,736,"100,000+",100000,2,
AUTO_AND_VEHICLES,7021,"500,000+",500000,2,
AUTO_AND_VEHICLES,197,"50,000+",50000,2,
AUTO_AND_VEHICLES,737,"100,000+",100000,2,
AUTO_AND_VEHICLES,3574,"1,000,000+",1000000,2,
AUTO_AND_VEHICLES,994,"100,000+",100000,2,
AUTO_AND_VEHICLES,197136,"1,000,000+",1000000,2,
AUTO_AND_VEHICLES,142,"50,000+",50000,2,
AUTO_AND_VEHICLES,15168,"1,000,000+",1000000,2,
AUTO_AND_VEHICLES,2155,"500,000+",500000,2,
AUTO_AND_VEHICLES,138,"100,000+",100000,2,
AUTO_AND_VEHICLES,5414,"1,000,000+",1000000,2,
AUTO_AND_VEHICLES,21777,"1,000,000+",1000000,2,
AUTO_AND_VEHICLES,348,"100,000+",100000,2,
AUTO_AND_VEHICLES,250,"100,000+",100000,2,
AUTO_AND_VEHICLES,13372,"1,000,000+",1000000,2,
AUTO_AND_VEHICLES,7880,"100,000+",100000,2,
AUTO_AND_VEHICLES,3617,"100,000+",100000,2,
AUTO_AND_VEHICLES,4806,"1,000,000+",1000000,2,
AUTO_AND_VEHICLES,65786,"1,000,000+",1000000,2,
AUTO_AND_VEHICLES,31433,"1,000,000+",1000000,2,
AUTO_AND_VEHICLES,5097,"1,000,000+",1000000,2,
AUTO_AND_VEHICLES,1754,"500,000+",500000,2,
AUTO_AND_VEHICLES,2680,"500,000+",500000,2,
AUTO_AND_VEHICLES,1288,"100,000+",100000,2,
AUTO_AND_VEHICLES,73,"1,000+",1000,2,
AUTO_AND_VEHICLES,4140,"50,000+",50000,2,
AUTO_AND_VEHICLES,189,"10,000+",10000,2,
AUTO_AND_VEHICLES,1981,"100,000+",100000,2,
AUTO_AND_VEHICLES,2,50+,50,2,
AUTO_AND_VEHICLES,64,"1,000+",1000,2,
AUTO_AND_VEHICLES,0,10+,10,2,
AUTO_AND_VEHICLES,5,100+,100,2,
AUTO_AND_VEHICLES,0,10+,10,2,
AUTO_AND_VEHICLES,47,"1,000+",1000,2,
AUTO_AND_VEHICLES,4,500+,500,2,
AUTO_AND_VEHICLES,1,10+,10,2,
AUTO_AND_VEHICLES,276,"100,000+",100000,2,
AUTO_AND_VEHICLES,27,500+,500,2,
AUTO_AND_VEHICLES,29,"10,000+",10000,2,
AUTO_AND_VEHICLES,2,100+,100,2,
AUTO_AND_VEHICLES,21,100+,100,2,
AUTO_AND_VEHICLES,25,"10,000+",10000,2,
AUTO_AND_VEHICLES,5,"1,000+",1000,2,
AUTO_AND_VEHICLES,5,"1,000+",1000,2,
AUTO_AND_VEHICLES,1,5+,5,2,
AUTO_AND_VEHICLES,12,500+,500,2,
AUTO_AND_VEHICLES,186648,"10,000,000+",10000000,2,
AUTO_AND_VEHICLES,4,100+,100,2,
AUTO_AND_VEHICLES,12,"5,000+",5000,2,
AUTO_AND_VEHICLES,0,10+,10,2,
AUTO_AND_VEHICLES,46,"1,000+",1000,2,
AUTO_AND_VEHICLES,1,10+,10,2,
AUTO_AND_VEHICLES,9,100+,100,2,
AUTO_AND_VEHICLES,0,5+,5,2,
AUTO_AND_VEHICLES,14,"1,000+",1000,2,
AUTO_AND_VEHICLES,83,"5,000+",5000,2,
AUTO_AND_VEHICLES,22,"1,000+",1000,2,
AUTO_AND_VEHICLES,107,"10,000+",10000,2,
AUTO_AND_VEHICLES,1,1+,1,2,
AUTO_AND_VEHICLES,4,100+,100,2,
BEAUTY,18900,"500,000+",500000,3,
BEAUTY,49790,"1,000,000+",1000000,3,
BEAUTY,1150,"100,000+",100000,3,
BEAUTY,1739,"500,000+",500000,3,
BEAUTY,32090,"1,000,000+",1000000,3,
BEAUTY,2225,"500,000+",500000,3,
BEAUTY,4369,"100,000+",100000,3,
BEAUTY,8572,"1,000,000+",1000000,3,
BEAUTY,964,"50,000+",50000,3,
BEAUTY,42050,"1,000,000+",1000000,3,
BEAUTY,104,"10,000+",10000,3,
BEAUTY,17934,"1,000,000+",1000000,3,
BEAUTY,601,"100,000+",100000,3,
BEAUTY,36,"10,000+",10000,3,
BEAUTY,187,"50,000+",50000,3,
BEAUTY,182,"100,000+",100000,3,
BEAUTY,30,"10,000+",10000,3,
BEAUTY,134,"10,000+",10000,3,
BEAUTY,74,"10,000+",10000,3,
BEAUTY,113715,"10,000,000+",10000000,3,
BEAUTY,3595,"500,000+",500000,3,
BEAUTY,9315,"1,000,000+",1000000,3,
BEAUTY,75,"50,000+",50000,3,
BEAUTY,38,"10,000+",10000,3,
BEAUTY,26834,"1,000,000+",1000000,3,
BEAUTY,119,"50,000+",50000,3,
BEAUTY,2277,"500,000+",500000,3,
BEAUTY,2280,"500,000+",500000,3,
BEAUTY,654,"100,000+",100000,3,
BEAUTY,184,"10,000+",10000,3,
BEAUTY,9,"5,000+",5000,3,
BEAUTY,77,"10,000+",10000,3,
BEAUTY,35,"10,000+",10000,3,
BEAUTY,364,"100,000+",100000,3,
BEAUTY,18,"5,000+",5000,3,
BEAUTY,473,"100,000+",100000,3,
BEAUTY,30,"10,000+",10000,3,
BEAUTY,66,"10,000+",10000,3,
BEAUTY,3871,"1,000,000+",1000000,3,
BEAUTY,257,"50,000+",50000,3,
BEAUTY,62,"10,000+",10000,3,
BEAUTY,40,"10,000+",10000,3,
BEAUTY,0,100+,100,3,
BEAUTY,2,"1,000+",1000,3,
BEAUTY,1,100+,100,3,
BEAUTY,2,100+,100,3,
BEAUTY,1,50+,50,3,
BEAUTY,45452,"5,000,000+",5000000,3,
BEAUTY,0,500+,500,3,
BEAUTY,8,100+,100,3,
BEAUTY,1,100+,100,3,
BEAUTY,900,"5,000+",5000,3,
BEAUTY,4354,"100,000+",100000,3,
BOOKS_AND_REFERENCE,2914724,"100,000,000+",100000000,4,
BOOKS_AND_REFERENCE,1857,"50,000+",50000,4,
BOOKS_AND_REFERENCE,4478,"100,000+",100000,4,
BOOKS_AND_REFERENCE,577550,"10,000,000+",10000000,4,
BOOKS_AND_REFERENCE,814080,"100,000,000+",100000000,4,
BOOKS_AND_REFERENCE,246315,"10,000,000+",10000000,4,
BOOKS_AND_REFERENCE,454060,"10,000,000+",10000000,4,
BOOKS_AND_REFERENCE,155446,"10,000,000+",10000000,4,
BOOKS_AND_REFERENCE,418,"100,000+",100000,4,
BOOKS_AND_REFERENCE,22486,"1,000,000+",1000000,4,
BOOKS_AND_REFERENCE,203130,"10,000,000+",10000000,4,
BOOKS_AND_REFERENCE,1435,"500,000+",500000,4,
BOOKS_AND_REFERENCE,116507,"1,000,000+",1000000,4,
BOOKS_AND_REFERENCE,1433233,"1,000,000,000+",1000000000,4,
BOOKS_AND_REFERENCE,90468,"5,000,000+",5000000,4,
BOOKS_AND_REFERENCE,860,"100,000+",100000,4,
BOOKS_AND_REFERENCE,363934,"10,000,000+",10000000,4,
BOOKS_AND_REFERENCE,967,"500,000+",500000,4,
BOOKS_AND_REFERENCE,87873,"10,000,000+",10000000,4,
BOOKS_AND_REFERENCE,17506,"1,000,000+",1000000,4,
BOOKS_AND_REFERENCE,1862,"1,000,000+",1000000,4,
BOOKS_AND_REFERENCE,2084,"500,000+",500000,4,
BOOKS_AND_REFERENCE,47303,"1,000,000+",1000000,4,
BOOKS_AND_REFERENCE,19080,"500,000+",500000,4,
BOOKS_AND_REFERENCE,161,"10,000+",10000,4,
BOOKS_AND_REFERENCE,85842,"5,000,000+",5000000,4,
BOOKS_AND_REFERENCE,7831,"100,000+",100000,4,
BOOKS_AND_REFERENCE,91615,"5,000,000+",5000000,4,
BOOKS_AND_REFERENCE,4620,"500,000+",500000,4,
BOOKS_AND_REFERENCE,21336,"1,000,000+",1000000,4,
BOOKS_AND_REFERENCE,26875,"500,000+",500000,4,
BOOKS_AND_REFERENCE,1778,"500,000+",500000,4,
BOOKS_AND_REFERENCE,2709,"1,000,000+",1000000,4,
BOOKS_AND_REFERENCE,64513,"5,000,000+",5000000,4,
BOOKS_AND_REFERENCE,8342,"10,000,000+",10000000,4,
BOOKS_AND_REFERENCE,527,"100,000+",100000,4,
BOOKS_AND_REFERENCE,1322,"100,000+",100000,4,
BOOKS_AND_REFERENCE,1680,"100,000+",100000,4,
BOOKS_AND_REFERENCE,2739,"50,000+",50000,4,
BOOKS_AND_REFERENCE,1065,"500,000+",500000,4,
BOOKS_AND_REFERENCE,233757,"10,000,000+",10000000,4,
BOOKS_AND_REFERENCE,2,"50,000+",50000,4,
BOOKS_AND_REFERENCE,8788,"1,000,000+",1000000,4,
BOOKS_AND_REFERENCE,51269,"1,000,000+",1000000,4,
BOOKS_AND_REFERENCE,30105,"1,000,000+",1000000,4,
BOOKS_AND_REFERENCE,156,"500,000+",500000,4,
BOOKS_AND_REFERENCE,114,"100,000+",100000,4,
BOOKS_AND_REFERENCE,341157,"10,000,000+",10000000,4,
BOOKS_AND_REFERENCE,2440695,"100,000,000+",100000000,4,
BOOKS_AND_REFERENCE,873,"50,000+",50000,4,
BOOKS_AND_REFERENCE,88,"1,000+",1000,4,
BOOKS_AND_REFERENCE,459,"50,000+",50000,4,
BOOKS_AND_REFERENCE,814151,"100,000,000+",100000000,4,
BOOKS_AND_REFERENCE,1476,"100,000+",100000,4,
BOOKS_AND_REFERENCE,85842,"5,000,000+",5000000,4,
BOOKS_AND_REFERENCE,210534,"10,000,000+",10000000,4,
BOOKS_AND_REFERENCE,22401,"500,000+",500000,4,
BOOKS_AND_REFERENCE,54,"10,000+",10000,4,
BOOKS_AND_REFERENCE,11,"5,000+",5000,4,
BOOKS_AND_REFERENCE,4,"1,000+",1000,4,
BOOKS_AND_REFERENCE,0,5+,5,4,
BOOKS_AND_REFERENCE,0,10+,10,4,
BOOKS_AND_REFERENCE,6,"1,000+",1000,4,
BOOKS_AND_REFERENCE,124,"5,000+",5000,4,
BOOKS_AND_REFERENCE,241,"100,000+",100000,4,
BOOKS_AND_REFERENCE,2915189,"100,000,000+",100000000,4,
BOOKS_AND_REFERENCE,124970,"5,000,000+",5000000,4,
BOOKS_AND_REFERENCE,586,"100,000+",100000,4,
BOOKS_AND_REFERENCE,27,"5,000+",5000,4,
BOOKS_AND_REFERENCE,14,"1,000+",1000,4,
BOOKS_AND_REFERENCE,263,"10,000+",10000,4,
BOOKS_AND_REFERENCE,52312,"5,000,000+",5000000,4,
BOOKS_AND_REFERENCE,114,"10,000+",10000,4,
BOOKS_AND_REFERENCE,20,"10,000+",10000,4,
BOOKS_AND_REFERENCE,0,"1,000+",1000,4,
BOOKS_AND_REFERENCE,0,"1,000+",1000,4,
BOOKS_AND_REFERENCE,295,"50,000+",50000,4,
BOOKS_AND_REFERENCE,12,100+,100,4,
BOOKS_AND_REFERENCE,1,50+,50,4,
BOOKS_AND_REFERENCE,218451,"10,000,000+",10000000,4,
BOOKS_AND_REFERENCE,57400,"500,000+",500000,4,
BOOKS_AND_REFERENCE,445756,"10,000,000+",10000000,4,
BOOKS_AND_REFERENCE,361780,"10,000,000+",10000000,4,
BOOKS_AND_REFERENCE,41608,"1,000,000+",1000000,4,
BOOKS_AND_REFERENCE,2319,"50,000+",50000,4,
BOOKS_AND_REFERENCE,96419,"5,000,000+",5000000,4,
BOOKS_AND_REFERENCE,12322,"500,000+",500000,4,
BOOKS_AND_REFERENCE,29551,"1,000,000+",1000000,4,
BOOKS_AND_REFERENCE,1340,"10,000+",10000,4,
BOOKS_AND_REFERENCE,55011,"1,000,000+",1000000,4,
BOOKS_AND_REFERENCE,497826,"10,000,000+",10000000,4,
BOOKS_AND_REFERENCE,1777,"50,000+",50000,4,
BOOKS_AND_REFERENCE,1201,"100,000+",100000,4,
BOOKS_AND_REFERENCE,3234,"100,000+",100000,4,
BOOKS_AND_REFERENCE,9636,"1,000,000+",1000000,4,
BOOKS_AND_REFERENCE,568922,"100,000,000+",100000000,4,
BOOKS_AND_REFERENCE,215,"10,000+",10000,4,
BOOKS_AND_REFERENCE,98,"10,000+",10000,4,
BOOKS_AND_REFERENCE,8,"5,000+",5000,4,
BOOKS_AND_REFERENCE,5,"1,000+",1000,4,
BOOKS_AND_REFERENCE,6,"1,000+",1000,4,
BOOKS_AND_REFERENCE,111,"5,000+",5000,4,
BOOKS_AND_REFERENCE,72,"10,000+",10000,4,
BOOKS_AND_REFERENCE,27,"10,000+",10000,4,
BOOKS_AND_REFERENCE,9,"1,000+",1000,4,
BOOKS_AND_REFERENCE,5300,"1,000,000+",1000000,4,
BOOKS_AND_REFERENCE,5,50+,50,4,
BOOKS_AND_REFERENCE,123,"1,000+",1000,4,
BOOKS_AND_REFERENCE,197,"10,000+",10000,4,
BOOKS_AND_REFERENCE,4071,"500,000+",500000,4,
BOOKS_AND_REFERENCE,13,"1,000+",1000,4,
BOOKS_AND_REFERENCE,286,"10,000+",10000,4,
BOOKS_AND_REFERENCE,53,"5,000+",5000,4,
BOOKS_AND_REFERENCE,899010,"10,000,000+",10000000,4,
BOOKS_AND_REFERENCE,341234,"10,000,000+",10000000,4,
BOOKS_AND_REFERENCE,42729,"5,000,000+",5000000,4,
BOOKS_AND_REFERENCE,659,"10,000+",10000,4,
BOOKS_AND_REFERENCE,2,100+,100,4,
BOOKS_AND_REFERENCE,28,"1,000+",1000,4,
BOOKS_AND_REFERENCE,0,100+,100,4,
BOOKS_AND_REFERENCE,155466,"10,000,000+",10000000,4,
BOOKS_AND_REFERENCE,2539,"500,000+",500000,4,
BOOKS_AND_REFERENCE,19090,"500,000+",500000,4,
BOOKS_AND_REFERENCE,146,"5,000+",5000,4,
BOOKS_AND_REFERENCE,52,"1,000+",1000,4,
BOOKS_AND_REFERENCE,67186,"1,000,000+",1000000,4,
BOOKS_AND_REFERENCE,156,"10,000+",10000,4,
BOOKS_AND_REFERENCE,47,"1,000+",1000,4,
BOOKS_AND_REFERENCE,3,100+,100,4,
BOOKS_AND_REFERENCE,23,500+,500,4,
BOOKS_AND_REFERENCE,0,10+,10,4,
BOOKS_AND_REFERENCE,238,"10,000+",10000,4,
BOOKS_AND_REFERENCE,119,"1,000+",1000,4,
BOOKS_AND_REFERENCE,2,500+,500,4,
BOOKS_AND_REFERENCE,0,500+,500,4,
BOOKS_AND_REFERENCE,56,"5,000+",5000,4,
BOOKS_AND_REFERENCE,37,"10,000+",10000,4,
BOOKS_AND_REFERENCE,0,10+,10,4,
BOOKS_AND_REFERENCE,10774,"100,000+",100000,4,
BOOKS_AND_REFERENCE,8,500+,500,4,
BOOKS_AND_REFERENCE,28237,"100,000+",100000,4,
BOOKS_AND_REFERENCE,0,100+,100,4,
BOOKS_AND_REFERENCE,68226,"1,000,000+",1000000,4,
BOOKS_AND_REFERENCE,1,50+,50,4,
BOOKS_AND_REFERENCE,10,"5,000+",5000,4,
BOOKS_AND_REFERENCE,88,"10,000+",10000,4,
BOOKS_AND_REFERENCE,244,"100,000+",100000,4,
BOOKS_AND_REFERENCE,15,"1,000+",1000,4,
BOOKS_AND_REFERENCE,0,10+,10,4,
BOOKS_AND_REFERENCE,0,5+,5,4,
BOOKS_AND_REFERENCE,2,10+,10,4,
BOOKS_AND_REFERENCE,0,10+,10,4,
BOOKS_AND_REFERENCE,1,10+,10,4,
BOOKS_AND_REFERENCE,1,10+,10,4,
BOOKS_AND_REFERENCE,2,5+,5,4,
BOOKS_AND_REFERENCE,0,1+,1,4,
BOOKS_AND_REFERENCE,0,5+,5,4,
BOOKS_AND_REFERENCE,4,500+,500,4,
BOOKS_AND_REFERENCE,0,10+,10,4,
BOOKS_AND_REFERENCE,70,500+,500,4,
BOOKS_AND_REFERENCE,459,"10,000+",10000,4,
BOOKS_AND_REFERENCE,121,"10,000+",10000,4,
BOOKS_AND_REFERENCE,0,10+,10,4,
BOOKS_AND_REFERENCE,38,"5,000+",5000,4,
BOOKS_AND_REFERENCE,20,"1,000+",1000,4,
BOOKS_AND_REFERENCE,7,"1,000+",1000,4,
BOOKS_AND_REFERENCE,264260,"10,000,000+",10000000,4,
BOOKS_AND_REFERENCE,18,"1,000+",1000,4,
BOOKS_AND_REFERENCE,13,"1,000+",1000,4,
BOOKS_AND_REFERENCE,68,"5,000+",5000,4,
BOOKS_AND_REFERENCE,283,"10,000+",10000,4,
BOOKS_AND_REFERENCE,50,"1,000+",1000,4,
BOOKS_AND_REFERENCE,7,10+,10,4,
BOOKS_AND_REFERENCE,43088,"1,000,000+",1000000,4,
BOOKS_AND_REFERENCE,22,"1,000+",1000,4,
BOOKS_AND_REFERENCE,313,"50,000+",50000,4,
BOOKS_AND_REFERENCE,314,"50,000+",50000,4,
BOOKS_AND_REFERENCE,116,"5,000+",5000,4,
BOOKS_AND_REFERENCE,92,"10,000+",10000,4,
BOOKS_AND_REFERENCE,314,"50,000+",50000,4,
BOOKS_AND_REFERENCE,11,"1,000+",1000,4,
BOOKS_AND_REFERENCE,11,"1,000+",1000,4,
BOOKS_AND_REFERENCE,0,5+,5,4,
BOOKS_AND_REFERENCE,10,"5,000+",5000,4,
BOOKS_AND_REFERENCE,48,"10,000+",10000,4,
BOOKS_AND_REFERENCE,82,"10,000+",10000,4,
BOOKS_AND_REFERENCE,0,100+,100,4,
BOOKS_AND_REFERENCE,6547,"100,000+",100000,4,
BOOKS_AND_REFERENCE,24278,"1,000,000+",1000000,4,
BOOKS_AND_REFERENCE,3776,"100,000+",100000,4,
BOOKS_AND_REFERENCE,7993,"1,000,000+",1000000,4,
BOOKS_AND_REFERENCE,14773,"500,000+",500000,4,
BOOKS_AND_REFERENCE,122,"5,000+",5000,4,
BOOKS_AND_REFERENCE,87919,"10,000,000+",10000000,4,
BOOKS_AND_REFERENCE,454412,"10,000,000+",10000000,4,
BOOKS_AND_REFERENCE,922752,"10,000,000+",10000000,4,
BOOKS_AND_REFERENCE,364452,"10,000,000+",10000000,4,
BOOKS_AND_REFERENCE,384368,"10,000,000+",10000000,4,
BOOKS_AND_REFERENCE,71328,"5,000,000+",5000000,4,
BOOKS_AND_REFERENCE,14,500+,500,4,
BOOKS_AND_REFERENCE,14,"1,000+",1000,4,
BOOKS_AND_REFERENCE,9,"1,000+",1000,4,
BOOKS_AND_REFERENCE,1877,"100,000+",100000,4,
BOOKS_AND_REFERENCE,33,"1,000+",1000,4,
BOOKS_AND_REFERENCE,29,"1,000+",1000,4,
BOOKS_AND_REFERENCE,0,10+,10,4,
BOOKS_AND_REFERENCE,2,100+,100,4,
BOOKS_AND_REFERENCE,0,5+,5,4,
BOOKS_AND_REFERENCE,8894,"100,000+",100000,4,
BOOKS_AND_REFERENCE,595,"50,000+",50000,4,
BOOKS_AND_REFERENCE,46,"5,000+",5000,4,
BOOKS_AND_REFERENCE,8,"1,000+",1000,4,
BOOKS_AND_REFERENCE,10,500+,500,4,
BOOKS_AND_REFERENCE,3,500+,500,4,
BOOKS_AND_REFERENCE,7,"1,000+",1000,4,
BOOKS_AND_REFERENCE,5,"1,000+",1000,4,
BOOKS_AND_REFERENCE,1,10+,10,4,
BOOKS_AND_REFERENCE,1,10+,10,4,
BOOKS_AND_REFERENCE,1,10+,10,4,
BOOKS_AND_REFERENCE,1,10+,10,4,
BOOKS_AND_REFERENCE,1,10+,10,4,
BOOKS_AND_REFERENCE,0,10+,10,4,
BOOKS_AND_REFERENCE,2,5+,5,4,
BOOKS_AND_REFERENCE,0,10+,10,4,
BOOKS_AND_REFERENCE,60,"10,000+",10000,4,
BOOKS_AND_REFERENCE,5,"1,000+",1000,4,
BOOKS_AND_REFERENCE,5775,"500,000+",500000,4,
BOOKS_AND_REFERENCE,52,"5,000+",5000,4,
BOOKS_AND_REFERENCE,603,"10,000+",10000,4,
BOOKS_AND_REFERENCE,44,"1,000+",1000,4,
BOOKS_AND_REFERENCE,114,"1,000+",1000,4,
BUSINESS,16129,"10,000,000+",10000000,5,
BUSINESS,674730,"50,000,000+",50000000,5,
BUSINESS,1254730,"10,000,000+",10000000,5,
BUSINESS,85185,"5,000,000+",5000000,5,
BUSINESS,32584,"1,000,000+",1000000,5,
BUSINESS,217730,"50,000,000+",50000000,5,
BUSINESS,70991,"5,000,000+",5000000,5,
BUSINESS,1002861,"100,000,000+",100000000,5,
BUSINESS,16589,"1,000,000+",1000000,5,
BUSINESS,148945,"1,000,000+",1000000,5,
BUSINESS,4458,"500,000+",500000,5,
BUSINESS,62272,"10,000,000+",10000000,5,
BUSINESS,8941,"5,000,000+",5000000,5,
BUSINESS,46353,"1,000,000+",1000000,5,
BUSINESS,1279184,"50,000,000+",50000000,5,
BUSINESS,88073,"10,000,000+",10000000,5,
BUSINESS,67000,"1,000,000+",1000000,5,
BUSINESS,159872,"10,000,000+",10000000,5,
BUSINESS,30847,"5,000,000+",5000000,5,
BUSINESS,188841,"5,000,000+",5000000,5,
BUSINESS,11622,"5,000,000+",5000000,5,
BUSINESS,95912,"5,000,000+",5000000,5,
BUSINESS,4034,"100,000+",100000,5,
BUSINESS,45964,"1,000,000+",1000000,5,
BUSINESS,14955,"1,000,000+",1000000,5,
BUSINESS,6903,"1,000,000+",1000000,5,
BUSINESS,31614,"10,000,000+",10000000,5,
BUSINESS,23055,"5,000,000+",5000000,5,
BUSINESS,19023,"1,000,000+",1000000,5,
BUSINESS,207372,"5,000,000+",5000000,5,
BUSINESS,1225,"100,000+",100000,5,
BUSINESS,380837,"10,000,000+",10000000,5,
BUSINESS,10600,"1,000,000+",1000000,5,
BUSINESS,74359,"1,000,000+",1000000,5,
BUSINESS,822,"100,000+",100000,5,
BUSINESS,80805,"5,000,000+",5000000,5,
BUSINESS,2287,"1,000,000+",1000000,5,
BUSINESS,4162,"100,000+",100000,5,
BUSINESS,14760,"50,000,000+",50000000,5,
BUSINESS,23243,"5,000,000+",5000000,5,
BUSINESS,9,"100,000+",100000,5,
BUSINESS,8978,"1,000,000+",1000000,5,
BUSINESS,80805,"5,000,000+",5000000,5,
BUSINESS,42492,"1,000,000+",1000000,5,
BUSINESS,286897,"10,000,000+",10000000,5,
BUSINESS,103755,"10,000,000+",10000000,5,
BUSINESS,46505,"1,000,000+",1000000,5,
BUSINESS,11442,"100,000+",100000,5,
BUSINESS,10295,"100,000+",100000,5,
BUSINESS,159872,"10,000,000+",10000000,5,
BUSINESS,296,"50,000+",50000,5,
BUSINESS,29313,"5,000,000+",5000000,5,
BUSINESS,70991,"5,000,000+",5000000,5,
BUSINESS,51507,"5,000,000+",5000000,5,
BUSINESS,1802,"100,000+",100000,5,
BUSINESS,1383,"100,000+",100000,5,
BUSINESS,23175,"1,000,000+",1000000,5,
BUSINESS,5868,"500,000+",500000,5,
BUSINESS,2111,"100,000+",100000,5,
BUSINESS,5448,"500,000+",500000,5,
BUSINESS,4159,"500,000+",500000,5,
BUSINESS,20815,"1,000,000+",1000000,5,
BUSINESS,78662,"1,000,000+",1000000,5,
BUSINESS,7149,"1,000,000+",1000000,5,
BUSINESS,3079,"100,000+",100000,5,
BUSINESS,5800,"100,000+",100000,5,
